d,phi,u
-0.2092708368935453,-0.9948707985391038,-3.0875791674745567
-0.2092708368935452,-0.9948707985391038,-3.087579167474556
-0.2092708368935452,-0.9948707985391038,-3.087579167474556
-0.2092708368935452,-0.9948707985391038,-3.087579167474556
-0.2092708368935452,-0.9948707985391038,-3.087579167474556
-0.20815992120535753,-0.9748707985391039,-3.056470010592679
-0.2061629048912753,-0.9375374652057704,-2.9991665141185235
-0.2034994789795076,-0.8851819096502149,-2.9201766994452907
-0.2003814400469751,-0.8198070948353998,-2.823621495305151
-0.19701206356712264,-0.7431489219958938,-2.71326955766712
-0.1935856498994757,-0.6567118388683217,-2.592568337863079
-0.19028648226700773,-0.5617997001577594,-2.4646645228278365
-0.187287051677553,-0.4595425132752718,-2.3324130300508017
-0.1847456895770968,-0.3509196179771161,-2.198376513748084
-0.18280385828081203,-0.23677977538538084,-2.064818358193501
-0.18158336771522443,-0.11785857847254441,-1.9336922556247886
-0.18118376176745565,0.005206458851911399,-1.8066311588226451
-0.18168007389575458,0.131862824533112,-1.6849379144244339
-0.18312110290798567,0.2616316747901501,-1.5695793542897065
-0.1855283126472127,0.39409801167958286,-1.461185114792544
-0.1888954168041561,0.5289021703170915,-1.3600519977244696
-0.19318867332082323,0.6657324411362656,-1.2661542920719668
-0.1983478819553972,0.8043186758462162,-1.179160143707756
-0.20428805315318366,0.9444267459281735,-1.0984537856036631
-0.2109016958279386,1.0858537399992032,-1.0231632182801829
-0.21806165538979183,1.228423801527429,-0.9521927523704894
-0.2256244208023892,1.371984521518558,-0.884259686505334
-0.23343381014437048,1.5164038121775363,-0.8179342892661685
0.0073249377158962625,-1.4800254561744755,-1.4067760790155128
0.01512836188247857,-1.3342171889683982,-1.1829335701436126
0.02259951695548157,-1.1886468115169564,-0.9626516419621407
0.02949687058840056,-1.044414822950618,-0.7494461170666125
0.03588044381479183,-0.8994137661931246,-0.5406093280452063
0.04159812505429106,-0.7537461836699639,-0.33776493312705336
0.04647510419257461,-0.6081234181171888,-0.14337237619144272
0.050246607184630254,-0.4660929193536735,0.03637315249262907
0.052849705996466434,-0.3306563316245402,0.19784072834012412
0.054388504124910586,-0.20431520670717396,0.3395698345419319
0.055084012756789535,-0.08909669217559861,0.46174343539229673
0.05521900438530292,0.0134864678768876,0.5656765117299167
0.055084978905320714,0.10242786111670968,0.6532776501699168
0.054941549198593176,0.17718423801552163,0.7265997300014534
0.05499198669170369,0.23761070740462065,0.7875305743216575
0.05537357383724517,0.2838857056796749,0.8376214440521266
0.05615875899383216,0.31643607668188983,0.8780236666202115
0.05736261919309016,0.33586973605045156,0.9094959279813531
0.05895297874415084,0.3429200645978445,0.9324498520393529
0.06086083466728154,0.3384033252713828,0.9470116719441981
0.06298993237817119,0.3231884234114456,0.9530877471931575
0.06522517710414055,0.29817724299981085,0.9504290140412164
0.06744003918187791,0.2642933891090717,0.9386937809278508
0.06950329405877931,0.22247718787136142,0.9175101284591545
0.07128542829760764,0.17368501767879266,0.8865393006548691
0.07266492226301757,0.11889131994454687,0.8455405425747226
0.07353444631546069,0.05909188555940263,0.7944363487140095
0.0738068208150483,-0.0046927930487077685,0.7333754151017753
0.0734204224490097,-0.07141516951998529,0.6627890549701118
0.07234359797909085,-0.1400002381713381,0.5834357416195703
0.0705775962437617,-0.20934790348107732,0.49642805895653963
0.06815756870240275,-0.27833880366788055,0.40323688335614694
0.06515132424920589,-0.3458440680792786,0.3056691744127803
0.06165574346787572,-0.4107392262628163,0.20581820841594095
0.05772310035082384,-0.47337229238220857,0.10385871112602985
0.05347086688196523,-0.532594750668291,0.002113918151361305
0.04903234854510652,-0.5873081625721646,-0.09698467712109937
0.04454805348840474,-0.6364876057957346,-0.19100707091168723
0.04015687862038364,-0.6792067600630948,-0.27763797385925837
0.035990240133864204,-0.7146276722802404,-0.35472527094159834
0.03216518993517781,-0.7420276948376232,-0.42037579548584514
0.028778692031140807,-0.7608246364353359,-0.47303771612392786
0.02590333033251291,-0.7705985346381592,-0.5115652313130301
0.023584558745692874,-0.7711086135162852,-0.5352630260593565
0.021839425983586125,-0.7623052606949673,-0.543911000859106
0.020656750846969274,-0.7443360916583948,-0.537768583188702
0.019998745539076435,-0.7175455165579665,-0.5175580611672022
0.019804108569990486,-0.682467597615711,-0.4844265119158061
0.019992589177620257,-0.6398123507647673,-0.4398864589885647
0.020470930719464153,-0.590445953479631,-0.3857366462849895
0.021139924328412274,-0.5353655994460346,-0.32396635616191183
0.0219020787823605,-0.475669991597464,-0.25664920377385897
0.022669201744609957,-0.4125266895967732,-0.18583467215067362
0.023369066861417487,-0.34713772021303135,-0.11344705159885649
0.023950370691574463,-0.2807050026423723,-0.041201295726627674
0.02438538259552203,-0.21439720814510227,0.029456617810118046
0.024670026698889735,-0.14931963285123676,0.0973806341376606
0.024821530619793197,-0.0864884897273767,0.16172681647055526
0.024874134617194787,-0.02681071482671389,0.221930631345234
0.024873594591108272,0.028930045015966254,0.27766599092704897
0.024871289834091037,0.08008109324945573,0.3287939915903661
0.024918667128784655,0.12612232448285277,0.3753089957706993
0.02506256174491517,0.16666261127728796,0.41728822872643967
0.025341696796088442,0.20143201597671045,0.4548489839375949
0.025784435274599282,0.23027106686742518,0.488115419613418
0.02640768483283429,0.253118344446206,0.5171951927745488
0.027216750831854597,0.26999750175163784,0.5421650100701838
0.02820589463226142,0.28100463427090416,0.5630635805935184
0.02935936543974582,0.28629666605530885,0.579890320452767
0.03065271505023015,0.28608116994156924,0.5926083204438708
0.032054257347135184,0.28060782009675256,0.6011503935681044
0.03352658513325002,0.2701615000634085,0.6054273513959088
0.03502809806202711,0.2550569630246181,0.6053379436448892
0.036514523846754465,0.2356348589167868,0.6007800973843315
0.03794043045776618,0.21225889668260237,0.5916632012602642
0.039260731326947074,0.18531388952017366,0.5779212027896444
0.04043218113145397,0.15520442745613725,0.559526238770677
0.04141484923210914,0.12235392793989071,0.5365024202609822
0.04217354398360085,0.08720382673607123,0.5089392665720797
0.042679146494607245,0.050212685671756636,0.4770041506178291
0.04290979944224427,0.011855010036191056,0.4409530044586337
0.04285188749192326,-0.027380412827479536,0.401138462091753
0.04250074267862969,-0.06699281964700649,0.3580146071392904
0.041861012189357893,-0.10647256000013432,0.3121375618934446
0.040946638012522296,-0.14530507081647445,0.2641613093087485
0.03978041757940698,-0.18297579693161356,0.21482837886245623
0.03839314041903952,-0.21897606726626345,0.16495533692413172
0.03682232555738307,-0.2528098783419479,0.11541337723188283
0.03511061473233257,-0.2840014739724321,0.0671046733508936
0.03330390399152483,-0.31210354534066365,0.020935494574584657
0.0314493176976014,-0.33670581350750556,-0.02221263653149158
0.029593142034820552,-0.35744370153417077,-0.061512281185965245
0.027778838674809236,-0.3740067607778119,-0.09621837402971956
0.026045253540271762,-0.38614649001148266,-0.12569395460876504
0.024425121947595052,-0.3936831802569069,-0.14943196078095639
0.022943951799504703,-0.39651143452741666,-0.16707191653236964
0.021619342985239598,-0.39460405020875866,-0.17841062035636268
0.020460775352102445,-0.38801401089875986,-0.18340625737773542
0.01946987052675775,-0.3768744109199478,-0.1821757056523703
0.01864110498158089,-0.3613962249252952,-0.1749851751094863
0.017962923504596166,-0.34186393178772334,-0.1622346967417617
0.017419174597085977,-0.318629100729222,-0.14443735475836225
0.01699076418648327,-0.2921021428555581,-0.1221945009907254
0.016657404296573034,-0.2627425176041769,-0.09616847463844655
0.016399322420364907,-0.2310477561344882,-0.06705453193083913
0.01619879845692607,-0.1975417179150623,-0.035553733345801614
0.016041411028805633,-0.16276252887892062,-0.002348418590864293
0.015916903413121467,-0.12725065669775132,0.031918377433463346
0.01581961825904843,-0.09153755956343138,0.06665862302705292
0.015748494578704975,-0.05613529984817309,0.10134964593887666
0.015706663830058698,-0.021527445872521173,0.1355391924280658
0.015700718069199482,0.011838501216229251,0.16884568190822408
0.01573974744838358,0.043557015735919136,0.20095449021975492
0.015834254500389555,0.07326875126920021,0.23161129627309576
0.015995049065636202,0.10066309463239446,0.2606135852887565
0.016232213026065256,0.12547920567336257,0.28780133593401513
0.016554202233454607,0.1475057405437313,0.3130477628782774
0.016967128542707766,0.16657949592772112,0.3362507813547988
0.017474241530397006,0.18258322898929435,0.3573256442932644
0.018075610032953993,0.1954429045545121,0.376199004884052
0.01876798950388059,0.20512460111213376,0.39280449615093965
0.01954485259533456,0.21163127541410093,0.40707980136744654
0.020396556659992626,0.21499954678655975,0.418965113386486
0.021310621877804525,0.21529662123780244,0.4284028400158477
0.02227209610590153,0.21261743568081226,0.43533839673982755
0.023263986083172483,0.20708206659557163,0.43972192742729643
0.024267738287521823,0.19883341669890545,0.44151079957412365
0.025263755837557245,0.18803516823202024,0.4406727266075927
0.02623193994318951,0.17486997222712228,0.4371893716590174
0.02715224539227723,0.1595378290772134,0.43106028299998567
0.028005239469941826,0.14225460622350403,0.4223070009229223
0.028772652752700245,0.12325063309072125,0.4109771606177237
0.02943790871426344,0.10276931093218292,0.3971483980748173
0.029986617399297866,0.08106567553379837,0.38093184952677706
0.030407016966264133,0.05840485347186637,0.3624750231345077
0.03069034606105836,0.03506035766947675,0.34196381828006034
0.030831130104258864,0.011312175297113784,0.3196234763397024
0.030827365919960048,-0.012555389393521545,0.29571826980607896
0.03068059185285621,-0.036256142950848454,0.27054977557771365
0.03039583462111295,-0.05950471308610784,0.24445363312502166
0.02998142948855198,-0.08201953750800021,0.21779475737751958
0.02944871660959114,-0.10352610994596784,0.19096105614994358
0.02881162316974284,-0.12376044388897434,0.16435578780845406
0.028086147685788987,-0.14247269623254252,0.13838878062534735
0.027289768977829643,-0.1594308754823848,0.11346681429591163
0.026440807340101014,-0.17442454345520642,0.08998352994580372
0.025557768864357677,-0.18726840663415123,0.06830928200942554
0.024658705388037827,-0.1978056845193782,0.04878136936100008
0.02376062199132145,-0.20591113836366334,0.03169508154955117
0.022878961362927552,-0.2114936452669762,0.017295968362299324
0.022027189859007645,-0.21449821008227712,0.005773688507799329
0.0212165039845722,-0.21490732095569506,-0.0027422811099730715
0.020455668719460918,-0.21274157320200676,-0.008184886007397585
0.0197509910444037,-0.20805950984130334,-0.010549599397266352
0.01910642369633586,-0.20095665440139837,-0.009892417438039758
0.01852378612548833,-0.1915637411619442,-0.006325879907060905
0.01800308238508297,-0.18004417833591768,-1.3354485087990753e-05
0.01754288979470475,-0.16659080911990473,0.008838088827142765
0.017140788171102206,-0.15142206247607282,0.019985819234949243
0.01679379760515598,-0.13477760842745048,0.033160367624109316
0.01649879340781235,-0.11691365025352664,0.04807428382459687
0.01625286995720787,-0.09809799726137526,0.06443070231070346
0.01605363050525066,-0.07860506614862896,0.08193123890387764
0.01589938704347571,-0.05871095617149834,0.10028291426325876
0.01578926237943057,-0.03868873365172019,0.1192038901425855
0.01572319481428963,-0.018804045531655194,0.13842790261124113
0.015701853415707845,0.0006888391338803428,0.1577073732909588
0.01572647813742245,0.019550485195626473,0.17681526656985097
0.015798663449161254,0.03755919654474694,0.19554583103635947
0.01592010647282749,0.05451334821160957,0.21371441293988447
0.01609234091209155,0.07023314794603518,0.2311565570669507
0.01631647658442925,0.08456185149435466,0.24772661733864718
0.016592961551438967,0.09736647346006744,0.2632960889744571
0.016921380204375613,0.10853804864641264,0.2777518506901688
0.017300296698750217,0.11799150692558096,0.29099447391308314
0.017727149272447673,0.12566522814974404,0.30293672087422074
0.018198197539744165,0.13152034292170703,0.31350231831914865
0.018708522014622364,0.13553984090783472,0.32262506105405836
0.019252072946760013,0.13772754165097578,0.3302482711185759
0.019821764022323496,0.13810697439648045,0.3363246146197154
0.0204096054938111,0.1367202040946806,0.3408162590327916
0.021006870729638135,0.13362663119446827,0.34369533849084966
0.021604289879948998,0.12890178366338245,0.34494468246287247
0.02219226422005749,0.12263611128446603,0.34455875348504095
0.02276109466508469,0.1149337849790759,0.3425447316299228
0.023301217891714576,0.10591149786385896,0.3389236767810047
0.023803443434108118,0.09569726005582244,0.33373169439690364
0.024259185051770493,0.0844291759144775,0.32702102643218245
0.024660679634164406,0.07225419043389318,0.31886098677553726
0.02500118696424547,0.05932679082355579,0.3093386604660105
0.025275163873132556,0.045807649881579426,0.298559288612905
0.02547840674165036,0.03186219949191596,0.28664626690841954
0.02560815699164598,0.017659125380343796,0.2737406952968036
0.025663165191986415,0.003368778037372226,0.2600004299572364
0.02564371068683391,-0.010838500667611663,0.24559860620072743
0.02555157521339968,-0.024794130355491047,0.23072162177850575
0.025389970758329827,-0.03833311386679648,0.2155665937165018
0.025163423822843978,-0.05129591116487215,0.20033832706356763
0.024877620219815988,-0.06353034265582369,0.1852458595423362
0.02453921638894352,-0.074893493384661,0.17049867050477419
0.0241556248616398,-0.08525358437929675,0.15630266423710126
0.02373478281426733,-0.09449177313658728,0.142856055006086
0.023284913513108463,-0.10250384217729962,0.130345292953785
0.022814290800481363,-0.10920173300495603,0.1189411749998576
0.022331016556492056,-0.11451488289733779,0.10879528266758277
0.021842820291492426,-0.11839132387468689,0.10003687904023738
0.021356888716444367,-0.12079850697182444,0.09277038019261923
0.020879731375523014,-0.12172382053857314,0.087073493216657
0.020417086313547994,-0.12117477854642003,0.08299608458905991
0.019973867422006908,-0.11917886353101272,0.08055981068905636
0.01955415271058314,-0.11578301850166454,0.07975850860416685
0.019161210442728116,-0.11105279247943953,0.08055931194784163
0.018797558007382253,-0.10507115481378836,0.08290442526003418
0.01846552436298332,-0.09789639901504273,0.08675884461479048
0.018166090942882462,-0.0896742524661982,0.09198665696262642
0.017899818596642803,-0.08055771398966394,0.09844047197676409
0.01766697416628782,-0.0707051210643353,0.10596462059854289
0.017468150146241257,-0.06021461428338328,0.11446688717902928
0.017303463183073742,-0.049235489150140505,0.12379914268059691
0.017172959183407777,-0.037920024984038715,0.13380956685003906
0.01707666416114595,-0.02642063057303023,0.14434601103842926
0.017014608172380652,-0.014887232426800222,0.15525884929700629
0.016986820862078922,-0.00346606881971962,0.1664021398010696
0.01699330877237948,0.007702287261743614,0.17763537498553839
0.017034014044036816,0.018484703084846243,0.1888248435252144
0.017108759174269128,0.02875702994756316,0.19984462169025444
0.017217183156161386,0.03840539907363007,0.21057723063524392
0.017358674469217128,0.047327283319537075,0.22091402801170834
0.017532306202174386,0.05543232674956583,0.2307553887713097
0.01773677809384422,0.06264295033016826,0.24001073126861044
0.017970369544688225,0.06889474707185451,0.24859844251873675
0.018230906768326616,0.07413668373739436,0.2564457514206605
0.01851574630272612,0.07833112838066696,0.2634885914079282
0.018821776153405523,0.0814537239253158,0.26967148545937103
0.019145434948315998,0.0834931278762011,0.2749474773593611
0.019482748681516338,0.08445063725832205,0.2792781240734854
0.019829383929577116,0.08433971619914997,0.28263355549492114
0.02018071584689629,0.08318544142440083,0.28499259989336373
0.02053190878045097,0.08102387852862919,0.2863429663331389
0.020878006982274044,0.0779013993963055,0.2866814692190459
0.021214032628699808,0.07387394874706531,0.2860142750340634
0.021535088169655547,0.06900626559280919,0.2843571472893647
0.02183645992242489,0.06337106352756396,0.28173566275181283
0.022113719789364494,0.05704817229879989,0.2781853701924448
0.0223628220186205,0.05012364208021968,0.2737518622664247
0.022580192044226788,0.04268881130688257,0.26849073174915045
0.022762804641655254,0.03483933884850094,0.2624673852650535
0.022908248920970653,0.026674201672041254,0.2557566908817478
0.023014778054094798,0.018294659949231153,0.24844244049017913
0.023081342093108415,0.009803192751695366,0.2406166136827795
0.02310760277560897,0.0013024089846599583,0.23237843674074968
0.023093929817353587,-0.0071060600344911296,0.22383323813904474
0.023041378841897053,-0.01532267803247109,0.21509111038649945
0.022951651766063286,-0.023251120972215298,0.20626539668841756
0.022827041118620443,-0.030799381748044027,0.1974710294381604
0.022670360384434488,-0.037880848366107056,0.18882275547823782
0.022484863004023747,-0.044415340070747406,0.18043328996949007
0.022274153087191273,-0.05033008472120901,0.17241144615070372
0.02204209119208489,-0.05556062002974964,0.16486029189109924
0.02179269865730271,-0.060051601121121664,0.15787538545190544
0.021530063942850397,-0.06375749732494763,0.15154314210355635
0.02125825423430605,-0.06664316220108749,0.14593938014197302
0.020981235202350845,-0.06868426252958923,0.14112808949391922
0.020702801306236474,-0.06986755434580688,0.13716045871655785
0.020426518413354966,-0.07019099701072878,0.13407418712282088
0.020155679814145788,-0.06966369968871919,0.1318930984527387
0.019893275983596137,-0.06830569834534334,0.13062706149061803
0.019641977721606363,-0.06614756533931725,0.13027221187674637
0.019404131638038447,-0.06322985771270366,0.1308114586676808
0.019181766374219755,-0.05960241422168594,0.1322152495205116
0.018976607504515353,-0.05532351483701705,0.13444256020813647
0.018790098763794116,-0.0504589197284801,0.13744206790946106
0.018623427112887114,-0.04508080749902618,0.14115346362984496
0.018477549186410758,-0.03926663454462757,0.14550885731948002
0.018353216855710452,-0.033097938809491835,0.1504342297476127
0.018250999963432935,-0.026659111842508267,0.15585088779182107
0.01817130471572037,-0.02003616293628393,0.16167688422091978
0.018114386717308473,-0.013315498278046112,0.1678283688950386
0.018080358164988652,-0.006582736529579609,0.17422084512030692
0.018069189237292616,7.84198238799671e-05,0.18077031219680612
0.0180807041976786,0.006587240532620648,0.18739428250940662
0.018114573135806,0.012866937077002082,0.1940126684350621
0.01817030058548097,0.018845534600547904,0.2005485404553576
0.018247212466163898,0.0244566383689491,0.20692876303058808
0.018344442894038138,0.029640089764952353,0.21308451870533374
0.018460922403010005,0.0343425095996648,0.21895173362976483
0.01859536901668679,0.03851772898249623,0.22447141914936414
0.01874628343502749,0.0421271101066968,0.22958994445697167
0.018911949362384273,0.04513976103049227,0.234259254654335
0.019090439726305752,0.04753264985269127,0.23843704711574878
0.019279629237283546,0.04929062460477066,0.24208691697760612
0.019477213435262875,0.05040634573741485,0.2451784800900436
0.01968073407331561,0.05088013831142499,0.24768747904458108
0.019887610413656498,0.05071977096466082,0.2495958751012258
0.020095175764646034,0.04994016847886947,0.2508919261253298
0.020300718375590887,0.0485630643748895,0.25157024813079837
0.020501525632963813,0.04661659948327428,0.2516318558129124
0.020694930369691278,0.044134871926462725,0.2510841756233755
0.020878358009636888,0.04115744345887308,0.24994102355524195
0.02104937322302991,0.03772880668487495,0.24822253891517404
0.021205724765374634,0.03389781734522577,0.2459550649989721
0.021345387211820666,0.029717095653985063,0.24317096777219172
0.021466598380064372,0.025242400594518665,0.23990838439516238
0.02156789135572179,0.02053198115039253,0.23621089470761045
0.021648120192026554,0.015645908650236837,0.2321271105705024
0.021706478546666963,0.010645394733440875,0.2277101802001105
0.021742510737308596,0.00559209987603359,0.22301720724911955
0.021756114937095505,0.0005474379263766176,0.21810858729733168
0.021747538484102602,-0.004428117341847106,0.2130472674991789
0.021717365535048327,-0.009275717083785487,0.20789793826669778
0.02166649754338279,-0.013938806530126356,0.20272616890370154
0.021596127274668864,-0.018363770837781332,0.1975975019089073
0.021507707277518606,-0.02250054969269921,0.19257652308248685
0.021402913896717224,-0.026303212491950907,0.18772592647522132
0.021283608038331292,-0.029730485889082562,0.18310559449423036
0.02115179396839484,-0.03274622564832171,0.17877171403562667
0.021009577443544925,-0.0353198251381438,0.17477594929730544
0.020859124432869636,-0.03742655341403347,0.17116469091466288
0.020702621597450066,-0.03904781669439,0.16797839928011066
0.020542239552792663,-0.04017133811227021,0.16525105741565643
0.0203800997575021,-0.04079125190836127,0.16300974566665974
0.020218245659369583,-0.04090810968659306,0.16127434690710277
0.020058618499541492,-0.04052879794297217,0.16005738705244274
0.01990303793949988,-0.039666367753169715,0.15936401164182906
0.019753187447342332,-0.03833977921226933,0.159192095261154
0.019610604171673814,-0.03657356490459796,0.1595324768121402
0.01947667285423604,-0.0343974182864028,0.1603693102559576
0.01935262319490194,-0.03184571433484199,0.16168051761417743
0.019239529990801363,-0.028956971104183986,0.16343832880382964
0.01913831532801835,-0.02577326189196734,0.1656098913882162
0.019049752109160156,-0.022339588521581855,0.1681579325700197
0.018974468249728038,-0.018703226771512208,0.17104145572576818
0.018912950964499298,-0.01491305521502658,0.1742164544299664
0.018865550683743848,-0.01101887867946749,0.177636628157971
0.018832484278176964,-0.007070757205113957,0.18125408557665568
0.018813837420674773,-0.003118350803513624,0.1850200234032341
0.018809566061354754,0.000789710482508461,0.188885371096056
0.01881949713108888,0.004606422689779784,0.1928013940006686
0.01884332870854477,0.008286962800169538,0.19672024988561726
0.018880629981034236,0.011789196136222051,0.20059549594656442
0.018930841395511044,0.015074131304084366,0.2043825452591948
0.018993275430874146,0.018106318931300065,0.20803907324004153
0.019067118426316143,0.02085419164154318,0.2115253759047046
0.01915143387464946,0.02329034382565488,0.21480468257214946
0.019245167537704777,0.02539175078611216,0.21784342616315994
0.019347154667522126,0.02713992773085819,0.22061147440607945
0.019456129527304356,0.028521029862298392,0.22308232513534196
0.01957073730548542,0.029525895444473264,0.22523326849932745
0.019689548410241287,0.03015003423948722,0.2270455183419001
0.019811075025517266,0.03039356409244544,0.22850431434761811
0.019933789707857752,0.030261098724907117,0.22959899580348464
